TERM,GENE
YAP,Cyp4b1
YAP,Krt7
YAP,Lrrc8c
YAP,Acap1
YAP,Ikzf3
YAP,Phlda1
YAP,Cyfip2
YAP,Slc44a4
YAP,St8sia4
YAP,Wwc2
YAP,Ccl5
YAP,Tjp1
YAP,4632428N05Rik
YAP,Cd3e
YAP,Mgat4c
YAP,Rasgrp1
YAP,Pmepa1
YAP,Fam59a
YAP,Selplg
YAP,Dock10
YAP,Lpxn
YAP,S100a11
YAP,Pdgfc
YAP,Cd7
YAP,Agps
YAP,Tsc22d2
YAP,Cd37
YAP,Prkch
YAP,Itgae
YAP,Sash3
YAP,Glp1r
YAP,Lck
YAP,Acot9
YAP,Gpr18
YAP,Parp8
YAP,Dab2
YAP,Lcp2
YAP,Tmem125
YAP,Cd3g
YAP,1-Sep
YAP,Arhgef3
YAP,Bmp8b
YAP,Zap70
YAP,Lsp1
YAP,Cst7
YAP,Ptpn22
YAP,Prkacb
YAP,Tinagl1
YAP,Ikzf2
YAP,Tead1
YAP,Ccn1
YAP,Fli1
YAP,Cd8a
YAP,Krt18
YAP,Fam101b
YAP,Ppp3cc
YAP,Akna
YAP,Id3
YAP,Wwc1
YAP,Epha2
YAP,Ptprc
YAP,Hbegf
YAP,Myo1c
YAP,Cd96
YAP,Celf2
YAP,Itk
YAP,Fxyd5
YAP,Nckap1l
YAP,Tgfbr2
YAP,Jub
YAP,Fyn
YAP,Ikzf1
