TERM,GENE
YAP,5430407P10Rik
YAP,Efhd2
YAP,Ptprd
YAP,Tax1bp3
YAP,Mfsd7c
YAP,Dsp
YAP,Sema3b
YAP,2200002D01Rik
YAP,Tnfaip1
YAP,Jun
YAP,Tnk2
YAP,Ly6d
YAP,Hsh2d
YAP,Lrrc51
YAP,Rhob
YAP,Cryz
YAP,Gm6788
YAP,Mark4
YAP,Pgap2
YAP,Kctd9
YAP,Zcchc10
YAP,Cd2ap
YAP,Igsf9
YAP,Eif4e3
YAP,Ap1s3
YAP,Pbx4
YAP,Eif4ebp1
YAP,Mgat4c
YAP,Mpzl3
YAP,Kitl
YAP,Dusp6
YAP,Slc40a1
YAP,Flrt3
YAP,Pkp4
YAP,Eno3
YAP,Bmp8a
YAP,Pcx
YAP,Zfand2a
YAP,Cdipt
YAP,Rasl11a
YAP,Atg9b
YAP,Ddhd1
YAP,Coq10b
YAP,Crim1
YAP,Cgn
YAP,Sh3pxd2a
YAP,Sfxn3
YAP,Tmc7
YAP,Cfl2
YAP,Tpm4
YAP,Car13
YAP,Adk
YAP,Rdm1
YAP,Ikbip
YAP,Pim3
YAP,Rab8b
YAP,Plcd1
YAP,Dst
YAP,Wls
YAP,Cmpk2
YAP,Tmtc2
YAP,Dusp5
YAP,Tpst2
YAP,Tln1
YAP,Hic2
YAP,Zfp568
YAP,Gm17590
YAP,Kazn
YAP,F11r
YAP,Ccdc64
YAP,Cd276
YAP,Slc44a4
YAP,Usp46
YAP,Rnf19a
YAP,Nbea
YAP,Ubash3b
YAP,Rasl11b
YAP,Ctnnal1
YAP,Pag1
YAP,6430598A04Rik
YAP,Ctsl
YAP,Nudt17
YAP,Btc
YAP,Flrt3
YAP,Hist1h4d
YAP,Gm9775
YAP,Kif3a
YAP,Lrrc8e
YAP,Sema6a
YAP,Tspan9
YAP,Epb4.1l2
YAP,Junb
YAP,Sbno2
YAP,Pip5k1a
YAP,Nxf7
YAP,Man2b2
YAP,Sash1
YAP,Pla2g15
YAP,Parp12
YAP,Ehd1
YAP,Tbx3
YAP,Diap3
YAP,Fez2
YAP,Fam107b
YAP,Nipal1
YAP,1810048J11Rik
YAP,Tmem2
YAP,Ttc22
YAP,2900073G15Rik
YAP,Nxnl2
YAP,2810474O19Rik
YAP,A230050P20Rik
YAP,2210011C24Rik
YAP,Ppp1r13l
YAP,Pmepa1
YAP,Gm98
YAP,Ddit3
YAP,Cyp2w1
YAP,Trim34b
YAP,Slc25a24
YAP,Ttll1
YAP,Aldh1l2
YAP,BC022687
YAP,Sh3rf2
YAP,Rnf13
YAP,Sgtb
YAP,Agrn
YAP,Sdcbp2
YAP,Shb
YAP,Zfp772
YAP,Slc9a2
YAP,Arhgap21
YAP,Agpat4
YAP,4921536K21Rik
YAP,Gm10020
YAP,Fam65a
YAP,4930402H24Rik
YAP,Myo15b
YAP,Slc10a2
YAP,Ubtd2
YAP,Mxd1
YAP,Trib1
YAP,Crym
YAP,Tmsb10
YAP,Anln
YAP,Slc31a2
YAP,Eml2
YAP,Pacsin2
YAP,Abcc1
YAP,Tmem125
YAP,Slc22a23
YAP,Vstm2l
YAP,Mtap4
YAP,Egr1
YAP,Cdc42se2
YAP,Gpt2
YAP,Hk1
YAP,Ccdc112
YAP,Pdzk1
YAP,Hs3st1
YAP,Gsn
YAP,Avpi1
YAP,Rab23
YAP,Slc4a11
YAP,Aim1
YAP,Gm7334
YAP,2310014L17Rik
YAP,Gch1
YAP,4930572J05Rik
YAP,Abl2
YAP,Slc25a4
YAP,Cdon
YAP,Pgap1
YAP,Tmem140
YAP,Gadd45a
YAP,Gas8
YAP,Plekhg2
YAP,Actb
YAP,Enpp3
YAP,Sqstm1
YAP,Myh14
YAP,Pacsin3
YAP,Nek8
YAP,Nfil3
YAP,Strn3
YAP,Ifit2
YAP,Pdp1
YAP,Endod1
YAP,Cdkl5
YAP,Prkci
YAP,Tnfrsf10b
YAP,Trim46
YAP,9930012K11Rik
YAP,Gsdmd
YAP,Bcl2l1
YAP,2810008M24Rik
YAP,1700069B07Rik
YAP,Tead1
YAP,Pxmp2
YAP,Gm17541
YAP,Xpnpep2
YAP,Cdc42ep3
YAP,Gm5129
YAP,Npff
YAP,Fam38a
YAP,Rhbdf1
YAP,Mospd2
YAP,Capg
YAP,Sult1c2
YAP,Far1
YAP,Psat1
YAP,Tmem62
YAP,Ezr
YAP,Uap1l1
YAP,Lmna
YAP,1600029D21Rik
YAP,2010109K11Rik
YAP,Kank2
YAP,Porcn
YAP,Snai3
YAP,Rap2b
YAP,Dusp8
YAP,Gas2l3
YAP,BC025446
YAP,Tubb2a
YAP,Tmem43
YAP,Ddah1
YAP,Gm10129
YAP,Krt42
YAP,Stk10
YAP,K230010J24Rik
YAP,Pik3cb
YAP,Rai14
YAP,Arf2
YAP,St6galnac4
YAP,Oas2
YAP,Ngfrap1
YAP,Myo1e
YAP,Epb4.1l1
YAP,Ptprr
YAP,Prkx
YAP,Krt8
YAP,Fam101b
YAP,Krt19
YAP,AA986860
YAP,Anxa2
YAP,Hsd17b2
YAP,B430305J03Rik
YAP,Susd1
YAP,Lamc1
YAP,Frmd4b
YAP,Slc45a3
YAP,Ccrn4l
YAP,Tspan6
YAP,Ccdc85b
YAP,Tnfrsf21
YAP,Myadm
YAP,Dusp18
YAP,F2rl1
YAP,Slco2a1
YAP,Epha4
YAP,Igtp
YAP,Spire1
YAP,Eid2
YAP,Alppl2
YAP,Krt17
YAP,Osbpl3
YAP,Nceh1
YAP,Krt9
YAP,Mcam
YAP,Baiap2
YAP,Pdgfb
YAP,Suox
YAP,Rapgef2
YAP,Tagln2
YAP,Flot2
YAP,Krt16
YAP,Capn13
YAP,Myo1h
YAP,Tbc1d2
YAP,Ncrna00085
YAP,H2-T24
YAP,Il3ra
YAP,Pcyt1a
YAP,Kctd11
YAP,Kctd10
YAP,Krt14
YAP,Tspan4
YAP,Plekhg3
YAP,Ifi27l1
YAP,Otud1
YAP,5730528L13Rik
YAP,Raph1
YAP,S100a16
YAP,Il28ra
YAP,Pvr
YAP,Pgap1
YAP,Otud7b
YAP,Fam83h
YAP,Pam
YAP,Tgfbr2
YAP,Dusp8
YAP,Gdf15
YAP,Arid3a
YAP,Fam43a
YAP,Angptl6
YAP,Stc2
YAP,Hpse
YAP,Trib3
YAP,Crlf3
YAP,Neu1
YAP,Dhx58
YAP,Egfr
YAP,Grb10
YAP,1700047I17Rik2
YAP,Tjp1
YAP,Glipr1
YAP,Mettl7b
YAP,Tmem188
YAP,Glt28d2
YAP,Tcte2
YAP,Cnksr1
YAP,Pwwp2b
YAP,Dennd2c
YAP,Cwh43
YAP,1700012L04Rik
YAP,Rtp4
YAP,Arid5a
YAP,Smad7
YAP,Plec
YAP,Fam59a
YAP,Oasl1
YAP,Pparg
YAP,Hist1h2bj
YAP,Tnks1bp1
YAP,Krt23
YAP,Acot10
YAP,Sez6l2
YAP,Trip6
YAP,Steap1
YAP,Rassf1
YAP,Rusc2
YAP,Ereg
YAP,Ssh1
YAP,Trim15
YAP,Ifrd1
YAP,Tsc22d2
YAP,Rhof
YAP,Flnb
YAP,Tctex1d2
YAP,Herc6
YAP,Maff
YAP,Anxa5
YAP,Serpinb5
YAP,Ptprt
YAP,Litaf
YAP,Edn3
YAP,Asap1
YAP,Podxl
YAP,Chac1
YAP,Slc44a2
YAP,Paqr8
YAP,Plcd3
YAP,Sh3bp5
YAP,Phlda2
YAP,Lrrfip1
YAP,Phlda1
YAP,Gjb3
YAP,Acot9
YAP,Macf1
YAP,Fam160a1
YAP,Mapk11
YAP,Gadd45b
YAP,Arnt2
YAP,Gm7665
YAP,Sh3tc1
YAP,Ptrh1
YAP,Tulp2
YAP,Pim1
YAP,Lmo7
YAP,Irgm2
YAP,Agtpbp1
YAP,Akr1b8
YAP,Cldn4
YAP,Ccl20
YAP,Rbms1
YAP,Steap2
YAP,Osbpl5
YAP,Samd9l
YAP,6030445D17Rik
YAP,Krt18
YAP,Palld
YAP,Fos
YAP,Ptpn21
YAP,Grasp
YAP,Areg
YAP,Mdfi
YAP,Bicd1
YAP,1700019L03Rik
YAP,Gm6096
YAP,Cgnl1
YAP,Prnd
YAP,Arhgef17
YAP,Rras2
YAP,Gm7008
YAP,Id2
YAP,Rassf8
YAP,1700016K19Rik
YAP,Jag2
YAP,Arl4c
YAP,S1pr2
YAP,Ppp1r9a
YAP,Prrg4
YAP,Derl3
YAP,Als2cr4
YAP,Pmaip1
YAP,Ston1
YAP,Clic4
YAP,Tm4sf4
YAP,Klf4
YAP,Prkcdbp
YAP,Ppl
YAP,Slc5a6
YAP,Abhd2
YAP,Gml
YAP,Capn5
YAP,Susd2
YAP,Isg20
YAP,Id1
YAP,S100a6
YAP,S100a11
YAP,Klf6
YAP,Vgll3
YAP,Car2
YAP,Id3
YAP,Fam46b
YAP,Ecel1
YAP,Tuft1
YAP,Ccdc68
YAP,Mboat1
YAP,Ccdc120
YAP,Dusp3
YAP,Vangl1
YAP,Itgb6
YAP,Pdzk1ip1
YAP,Oasl2
YAP,Arc
YAP,Tln2
YAP,Rasgef1b
YAP,Gm10691
YAP,Adm2
YAP,E130012A19Rik
YAP,Bmp8b
YAP,Acox2
YAP,Camk1
YAP,Tpm2
YAP,Basp1
