"TERM","GENE"
"Bcat","Ndufaf1"
"Bcat","Rps24"
"Bcat","Pten"
"Bcat","Rnf138"
"Bcat","Uchl5"
"Bcat","Psmc3ip"
"Bcat","Cdkn3"
"Bcat","Pold2"
"Bcat","Ide"
"Bcat","Ephb2"
"Bcat","Fignl1"
"Bcat","Dctd"
"Bcat","Enpp3"
"Bcat","Rrm2"
"Bcat","Top2a"
"Bcat","Hdac2"
"Bcat","Rpgr"
"Bcat","Fras1"
"Bcat","Rasa3"
"Bcat","Mrpl1"
"Bcat","Mtf2"
"Bcat","B230219D22Rik"
"Bcat","Kif22"
"Bcat","Hspa8"
"Bcat","Cubn"
"Bcat","Cdc25c"
"Bcat","Rab1a"
"Bcat","Ergic1"
"Bcat","Tmem107"
"Bcat","Tyms"
"Bcat","Ccnd2"
"Bcat","Cetn3"
"Bcat","Asf1b"
"Bcat","Aurkb"
"Bcat","Ascl2"
"Bcat","Mcm6"
"Bcat","Nap1l1"
"Bcat","Pcdh8"
"Bcat","Bub1b"
"Bcat","Paics"
"Bcat","Akr1b3"
"Bcat","Rpl32"
"Bcat","Tfb2m"
"Bcat","Cdv3"
"Bcat","Uchl4"
"Bcat","Otc"
"Bcat","Tfam"
"Bcat","Pabpc6"
"Bcat","Aasdhppt"
"Bcat","Sectm1a"
"Bcat","Rbbp4"
"Bcat","Kif18a"
"Bcat","Sppl2a"
"Bcat","Ankrd10"
"Bcat","Impa2"
"Bcat","Creb1"
"Bcat","Ccna2"
"Bcat","Incenp"
"Bcat","Afp"
"Bcat","Gm10184"
"Bcat","Kpna2"
"Bcat","Clpx"
"Bcat","Acat3"
"Bcat","Acat2"
"Bcat","Nasp"
"Bcat","Reg4"
"Bcat","Psmb7"
"Bcat","Rb1cc1"
"Bcat","Sp1"
"Bcat","Pole"
"Bcat","Mrps22"
"Bcat","Terf1"
"Bcat","Zfp207"
"Bcat","Ppp2r3a"
"Bcat","Prpf4"
"Bcat","Ahcyl1"
"Bcat","Cd44"
"Bcat","Trim28"
"Bcat","Cdc20"
"Bcat","P2ry6"
"Bcat","Chtf18"
"Bcat","Rad21"
"Bcat","Slc19a1"
"Bcat","Tpmt"
"Bcat","Exo1"
"Bcat","Lbr"
"Bcat","Trip6"
"Bcat","Eif5"
"Bcat","Sfrp5"
"Bcat","Esrrg"
"Bcat","Ces1b"
"Bcat","Ces1c"
"Bcat","Ces1d"
"Bcat","Ces1g"
"Bcat","Ces1h"
"Bcat","Wtap"
"Bcat","Pitrm1"
"Bcat","Prc1"
"Bcat","Ivd"
"Bcat","Mcm5"
"Bcat","Pnn"
"Bcat","Ilf3"
"Bcat","Mrpl3"
"Bcat","Sgpp1"
"Bcat","Zfp62"
"Bcat","Neurog3"
"Bcat","Slc25a5"
"Bcat","Pparg"
"Bcat","Slc40a1"
"Bcat","Fkbp3"
"Bcat","Rrs1"
"Bcat","Cdca4"
"Bcat","Notch2"
"Bcat","Matn2"
"Bcat","Rrm1"
"Bcat","Gstm6"
"Bcat","Gstm3"
"Bcat","Gstm2"
"Bcat","Gstm1"
"Bcat","Ppat"
"Bcat","Pfkp"
"Bcat","Gmps"
"Bcat","Ppp2r5e"
"Bcat","Msh3"
"Bcat","Xrn2"
"Bcat","Crp"
"Bcat","Brca2"
"Bcat","Xpo1"
"Bcat","Cdc7"
"Bcat","Pecr"
"Bcat","Fbl"
"Bcat","Sox4"
"Bcat","Chaf1b"
"Bcat","Lrig1"
"Bcat","Casp8ap2"
"Bcat","Hdgf"
"Bcat","Dhfr"
"Bcat","Cnot7"
"Bcat","Cybrd1"
"Bcat","Cfi"
"Bcat","Ddx5"
"Bcat","Cct4"
"Bcat","Ruvbl1"
"Bcat","Prdx4"
"Bcat","Pqbp1"
"Bcat","Polb"
"Bcat","Diaph3"
"Bcat","Lpp"
"Bcat","Ror2"
"Bcat","Impdh2"
"Bcat","Nutf2-ps1"
"Bcat","G2e3"
"Bcat","Ehf"
"Bcat","Hsf1"
"Bcat","Slc12a2"
"Bcat","Sox9"
"Bcat","Ung"
"Bcat","Ubqln2"
"Bcat","Gemin4"
"Bcat","Ppid"
"Bcat","Anapc5"
"Bcat","Foxm1"
"Bcat","Tubgcp2"
"Bcat","Nxt1"
"Bcat","Zfp148"
"Bcat","Gart"
"Bcat","Tcp1"
"Bcat","Cnn3"
"Bcat","Ube2e3"
"Bcat","Bub1"
"Bcat","Hat1"
"Bcat","Zfp593"
"Bcat","Adsl"
"Bcat","Rhobtb3"
"Bcat","Ada"
"Bcat","Tubb5"
"Bcat","Egfr"
"Bcat","Cdt1"
"Bcat","Hmgb3"
"Bcat","Brca1"
"Bcat","Sdc2"
"Bcat","Melk"
"Bcat","Bcor"
"Bcat","Smyd2"
"Bcat","Zdhhc2"
"Bcat","Pold1"
"Bcat","Cct3"
"Bcat","Rfc3"
"Bcat","Ppp1cb"
"Bcat","Fbxo5"
"Bcat","Ckap2"
"Bcat","Dmd"
"Bcat","Srrm1"
"Bcat","Mrpl13"
"Bcat","Cnnm3"
"Bcat","Racgap1"
"Bcat","Dek"
"Bcat","Rpl3"
"Bcat","Eefsec"
"Bcat","Syt11"
"Bcat","Ctbp2"
"Bcat","Bcas2"
"Bcat","Nup155"
"Bcat","Ttk"
"Bcat","Kntc1"
"Bcat","Traip"
"Bcat","Sh3bgrl"
"Bcat","Hells"
"Bcat","Adra2a"
"Bcat","Pcna"
"Bcat","Cenpe"
"Bcat","Appbp2"
"Bcat","Crim1"
"Bcat","Nup62"
"Bcat","Tube1"
"Bcat","Gm14698"
"Bcat","Sos2"
"Bcat","Mtbp"
"Bcat","2610507B11Rik"
"Bcat","Psma1"
"Bcat","Ppp2ca"
"Bcat","Arhgap5"
"Bcat","Ifitm7"
"Bcat","Birc5"
"Bcat","Cbfb"
"Bcat","Hmgb2"
"Bcat","Larp4"
"Bcat","Chek1"
"Bcat","Cbx5"
"Bcat","Dhx36"
"Bcat","Arf6"
"Bcat","Piwil2"
"Bcat","Sdc4"
"Bcat","Cdc6"
"Bcat","Sf3b1"
"Bcat","Vbp1"
"Bcat","Hemgn"
"Bcat","Pla2g4a"
"Bcat","Twistnb"
"Bcat","Nop58"
"Bcat","Evl"
"Bcat","Notch1"
"Bcat","Meis2"
"Bcat","Haus8"
"Bcat","Strap"
"Bcat","Rps6ka6"
"Bcat","Phgdh"
"Bcat","Rfc2"
"Bcat","Rwdd3"
"Bcat","Kcnq1"
"Bcat","Add3"
"Bcat","Nrm"
"Bcat","Aqp1"
"Bcat","Ssrp1"
"Bcat","Lypla1"
"Bcat","Gm20888"
"Bcat","Gm20838"
"Bcat","Gm20869"
"Bcat","Gm20870"
"Bcat","Gm5934"
"Bcat","Gm20855"
"Bcat","Gm4297"
"Bcat","Gm5935"
"Bcat","Gm20843"
"Bcat","Gm5169"
"Bcat","Gm1993"
"Bcat","Gm28510"
"Bcat","Gm5168"
"Bcat","Gm29554"
"Bcat","Gm2012"
"Bcat","Gm20896"
"Bcat","Gm20835"
"Bcat","Gm2030"
"Bcat","Gm20903"
"Bcat","Slx"
"Bcat","Gm14525"
"Bcat","Gm20905"
"Bcat","Gm6121"
"Bcat","Gm30737"
"Bcat","Gm10230"
"Bcat","Gm10058"
"Bcat","Gm4836"
"Bcat","Gm10147"
"Bcat","Gm10096"
"Bcat","Gm10488"
"Bcat","Gm14632"
"Bcat","Gm10487"
"Bcat","Gm29110"
"Bcat","Gm20814"
"Bcat","Gnai3"
"Bcat","Scoc"
"Bcat","Prps2"
"Bcat","E2f1"
"Bcat","Rnf138rt1"
"Bcat","Tcf12"
"Bcat","Tm9sf2"
"Bcat","Fgd1"
"Bcat","Dld"
"Bcat","Nnt"
"Bcat","Kif23"
"Bcat","Gm15262"
"Bcat","Msh6"
"Bcat","Gfer"
"Bcat","Cldn2"
"Bcat","Msh2"
"Bcat","Sfpq"
"Bcat","Ccnb2"
"Bcat","Ctcf"
"Bcat","Eif2s2"
"Bcat","Lrat"
"Bcat","Ctnnb1"
"Bcat","Uchl3"
