TERM,GENE
ISC,Zfp704
ISC,Zfp783
ISC,Zfp90
ISC,Zmym1
ISC,1110051M20Rik
ISC,1190002H23Rik
ISC,1700040L02Rik
ISC,4933431E20Rik
ISC,Acot1
ISC,AI747448
ISC,Ak7
ISC,BC021891
ISC,Bhlhb9
ISC,Ccdc111
ISC,Ciita
ISC,Clu
ISC,Dtx4
ISC,Fam171a1
ISC,Fgd1
ISC,Greb1
ISC,H2-Aa
ISC,H2-Eb1
ISC,Hmbox1
ISC,Hmga2
ISC,Iffo2
ISC,Ifitm3
ISC,Impdh2
ISC,Irf2bp2
ISC,Kank1
ISC,Klhl24
ISC,Lamb3
ISC,Lect2
ISC,Nr2e3
ISC,Nrg4
ISC,Nrn1
ISC,Nrtn
ISC,Pcdh8
ISC,Pde8b
ISC,Pdgfa
ISC,Phf20
ISC,Prss23
ISC,Rasl11b
ISC,Rassf5
ISC,Rccd1
ISC,Rdh16
ISC,Rhobtb3
ISC,S100pbp
ISC,Sdc4
ISC,Sgk1
ISC,Slc14a1
ISC,Slc16a13
ISC,Smarcd3
ISC,Tbc1d9
ISC,Tcf7
ISC,Tifa
ISC,Tlr2
ISC,Trim24
ISC,Trim32
ISC,Wfdc15b
ISC,Zc3hav1l
ISC,Zfp503
ISC,Zfp618
ISC,Zfp956
